               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.078558,            0.080399,            0.092384,             0.51815,             0.30469,             0.31785,             0.14568,            0.083151,              0.1045,            0.029464,             0.00307,             0.00307,             0.00307
                  72,            0.078112,            0.078611,            0.089786,             0.50979,             0.31001,             0.31677,             0.14459,            0.083263,             0.10428,            0.029324,            0.002971,            0.002971,            0.002971
                  73,            0.077984,             0.07841,            0.089413,             0.48836,             0.30991,             0.31815,             0.14634,            0.083083,             0.10459,            0.029442,            0.002872,            0.002872,            0.002872
                  74,            0.078033,            0.078257,            0.088116,             0.51475,              0.3011,              0.3174,             0.14669,            0.083093,             0.10458,            0.029988,            0.002773,            0.002773,            0.002773
                  75,            0.078011,            0.078246,            0.089351,             0.48618,              0.3071,             0.31582,             0.14628,            0.083134,             0.10499,            0.029888,            0.002674,            0.002674,            0.002674
                  76,            0.077488,            0.077882,             0.08629,             0.49538,             0.30905,             0.31703,             0.14538,            0.083139,             0.10525,            0.029887,            0.002575,            0.002575,            0.002575
                  77,            0.077376,            0.078376,            0.086151,             0.50212,             0.30655,             0.31586,             0.14697,            0.083042,             0.10512,            0.029796,            0.002476,            0.002476,            0.002476
                  78,            0.077432,            0.077929,            0.086275,             0.48652,             0.30834,             0.31652,             0.14604,            0.083172,             0.10545,            0.030211,            0.002377,            0.002377,            0.002377
                  79,            0.077788,            0.078866,            0.089157,             0.49933,             0.30704,             0.31756,             0.14644,            0.083056,             0.10507,            0.030041,            0.002278,            0.002278,            0.002278
                  80,            0.077159,            0.078449,            0.085526,             0.52345,             0.30187,             0.31744,              0.1472,            0.082907,             0.10491,            0.030433,            0.002179,            0.002179,            0.002179
                  81,            0.077073,            0.077413,            0.083366,             0.50712,             0.30382,             0.31661,             0.14602,            0.083062,             0.10561,             0.03063,             0.00208,             0.00208,             0.00208
                  82,            0.076986,             0.07709,            0.084734,             0.52615,             0.30586,             0.31915,             0.14699,            0.083032,              0.1054,            0.031008,            0.001981,            0.001981,            0.001981
                  83,            0.076891,            0.078243,            0.084869,             0.50805,             0.30842,             0.31875,             0.14718,            0.083109,             0.10562,            0.031102,            0.001882,            0.001882,            0.001882
                  84,            0.077038,            0.078161,            0.085469,             0.49828,             0.30463,             0.31424,             0.14631,            0.083086,             0.10553,            0.031268,            0.001783,            0.001783,            0.001783
                  85,            0.076547,            0.077471,            0.082502,             0.51052,             0.30985,             0.32007,             0.14711,            0.083096,             0.10591,            0.031173,            0.001684,            0.001684,            0.001684
                  86,            0.076439,            0.076659,            0.081557,             0.50578,             0.30717,             0.31725,             0.14715,            0.083106,             0.10601,            0.031041,            0.001585,            0.001585,            0.001585
                  87,             0.07628,            0.077367,            0.082028,             0.49693,             0.31202,             0.31792,             0.14739,            0.083125,             0.10622,            0.031352,            0.001486,            0.001486,            0.001486
                  88,            0.076452,            0.077262,            0.081194,             0.51608,             0.30545,              0.3183,             0.14857,            0.083235,              0.1059,            0.031519,            0.001387,            0.001387,            0.001387
                  89,            0.076066,            0.076718,            0.081133,             0.53384,             0.29849,             0.31366,             0.14465,            0.083216,             0.10667,            0.031893,            0.001288,            0.001288,            0.001288
                  90,            0.076018,             0.07634,            0.080067,             0.50341,             0.30394,              0.3145,             0.14609,            0.083156,             0.10674,            0.031522,            0.001189,            0.001189,            0.001189
                  91,            0.076113,            0.076562,            0.080666,             0.49997,             0.30666,             0.31575,             0.14733,            0.083028,             0.10648,            0.031655,             0.00109,             0.00109,             0.00109
                  92,            0.075777,            0.075004,            0.076404,             0.49032,             0.31179,             0.31569,             0.14742,            0.082993,             0.10658,            0.032102,            0.000991,            0.000991,            0.000991
                  93,            0.075688,            0.075935,            0.077472,             0.51306,              0.3041,             0.31744,             0.14819,            0.083089,             0.10686,            0.031845,            0.000892,            0.000892,            0.000892
                  94,            0.075996,             0.07738,            0.079889,             0.51699,              0.3045,             0.31689,             0.14809,            0.083112,             0.10708,            0.032056,            0.000793,            0.000793,            0.000793
                  95,            0.076022,            0.076486,            0.079007,             0.52942,             0.30148,             0.31485,             0.14845,            0.083029,             0.10686,            0.032234,            0.000694,            0.000694,            0.000694
                  96,            0.076147,            0.077378,            0.082903,             0.50633,             0.30764,             0.31721,             0.14844,            0.082985,             0.10675,            0.031943,            0.000595,            0.000595,            0.000595
                  97,             0.07581,            0.075813,            0.080212,             0.51929,             0.30302,             0.31746,             0.14882,            0.083013,             0.10698,            0.032313,            0.000496,            0.000496,            0.000496
                  98,            0.075942,            0.076238,            0.080318,             0.50932,             0.30583,             0.31674,             0.14854,            0.083063,             0.10685,            0.032192,            0.000397,            0.000397,            0.000397
                  99,            0.075841,            0.076545,            0.080756,             0.51396,             0.30384,             0.31707,             0.14835,            0.083035,             0.10686,            0.032138,            0.000298,            0.000298,            0.000298
