               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.036118,            0.036741,             0.01096,             0.84958,             0.91785,             0.94393,             0.68658,            0.031483,            0.020816,           0.0017083,            0.005809,            0.005809,            0.005809
                 129,            0.035932,            0.039365,            0.012209,             0.92214,             0.87697,              0.9459,             0.69464,            0.031275,             0.02072,           0.0017058,            0.005776,            0.005776,            0.005776
                 130,            0.036397,             0.03862,            0.013701,             0.91797,             0.88516,             0.94605,             0.68819,            0.030582,            0.020571,           0.0017186,            0.005743,            0.005743,            0.005743
                 131,            0.034187,            0.039572,            0.012314,             0.89385,             0.86608,             0.93256,             0.64206,            0.034154,            0.020951,           0.0017367,             0.00571,             0.00571,             0.00571
                 132,            0.037502,            0.038667,            0.012052,             0.86613,             0.91163,             0.94047,             0.66729,            0.032836,            0.020744,           0.0017615,            0.005677,            0.005677,            0.005677
                 133,            0.036427,            0.040549,            0.014689,             0.88597,             0.91953,             0.94906,             0.70079,            0.030119,            0.020295,           0.0017264,            0.005644,            0.005644,            0.005644
                 134,            0.036292,             0.03875,            0.013511,             0.89006,             0.91704,             0.95165,              0.7052,            0.031309,            0.020264,           0.0017026,            0.005611,            0.005611,            0.005611
                 135,            0.035619,            0.036587,            0.012481,             0.89755,              0.9251,             0.95236,              0.7037,            0.031485,            0.020487,           0.0016673,            0.005578,            0.005578,            0.005578
                 136,            0.035672,            0.032436,           0.0099913,             0.90497,             0.91469,             0.95135,             0.69397,            0.030518,             0.02044,            0.001648,            0.005545,            0.005545,            0.005545
                 137,            0.034201,            0.037417,             0.01148,             0.87912,             0.93405,             0.95509,             0.70227,            0.030903,            0.020327,           0.0016239,            0.005512,            0.005512,            0.005512
                 138,            0.035578,            0.038336,            0.013084,             0.91639,             0.89786,              0.9559,             0.71232,            0.029841,            0.019908,           0.0016105,            0.005479,            0.005479,            0.005479
                 139,            0.035535,            0.036905,            0.011116,             0.92402,              0.8996,             0.95635,             0.71086,            0.029835,            0.019801,           0.0016021,            0.005446,            0.005446,            0.005446
                 140,            0.034564,            0.041005,            0.013354,             0.93642,             0.89363,             0.95885,             0.71233,            0.029564,            0.019944,           0.0015873,            0.005413,            0.005413,            0.005413
                 141,            0.033747,            0.034312,            0.011356,             0.91252,             0.89711,             0.95624,             0.70943,            0.030283,            0.020044,           0.0015861,             0.00538,             0.00538,             0.00538
                 142,            0.035289,            0.037971,            0.012658,             0.91587,             0.89329,             0.95619,              0.7024,            0.030953,            0.020238,           0.0015804,            0.005347,            0.005347,            0.005347
                 143,            0.034249,            0.037468,            0.010656,             0.90556,             0.89258,             0.95368,             0.69733,            0.031073,            0.020059,           0.0015575,            0.005314,            0.005314,            0.005314
                 144,            0.035853,            0.038646,            0.013618,             0.91847,             0.89239,              0.9569,             0.69539,             0.02941,            0.020017,           0.0015642,            0.005281,            0.005281,            0.005281
                 145,            0.033877,            0.034063,           0.0099846,             0.93052,             0.88686,             0.95838,             0.70443,            0.029782,            0.019759,           0.0015658,            0.005248,            0.005248,            0.005248
                 146,            0.034011,            0.034573,             0.01132,             0.90329,             0.88551,             0.95191,             0.69195,            0.030686,             0.01943,           0.0015704,            0.005215,            0.005215,            0.005215
                 147,            0.035193,            0.035924,            0.010324,             0.92067,             0.89504,             0.95759,             0.71038,            0.029605,            0.019464,           0.0015633,            0.005182,            0.005182,            0.005182
                 148,            0.034747,             0.03688,            0.013033,             0.92844,             0.89636,             0.95826,             0.70478,            0.028694,            0.019378,           0.0015669,            0.005149,            0.005149,            0.005149
                 149,            0.033019,            0.037561,            0.011117,             0.92251,             0.89627,              0.9565,             0.72034,            0.028146,            0.019395,           0.0015726,            0.005116,            0.005116,            0.005116
                 150,            0.036101,            0.040676,            0.013082,             0.89464,             0.90751,             0.95326,             0.69405,            0.029524,            0.019612,           0.0015733,            0.005083,            0.005083,            0.005083
                 151,            0.036257,            0.039034,            0.014085,             0.91907,             0.90142,             0.96043,             0.72294,            0.028058,            0.019319,           0.0016007,             0.00505,             0.00505,             0.00505
                 152,             0.03275,             0.03325,           0.0094819,             0.92193,              0.9062,             0.95993,             0.72903,            0.028628,            0.019396,           0.0016214,            0.005017,            0.005017,            0.005017
                 153,            0.034141,            0.039653,            0.012302,             0.92387,             0.90672,             0.96087,             0.72449,            0.027748,            0.019117,           0.0016206,            0.004984,            0.004984,            0.004984
                 154,            0.033068,            0.032299,            0.010134,             0.90618,             0.88877,             0.95595,             0.69307,            0.031003,            0.019567,             0.00161,            0.004951,            0.004951,            0.004951
                 155,            0.034384,            0.037543,            0.012094,             0.90916,              0.9125,              0.9618,             0.73094,            0.028206,            0.019197,           0.0015855,            0.004918,            0.004918,            0.004918
                 156,             0.03482,            0.039255,            0.011212,             0.91611,             0.91739,             0.96453,             0.72619,            0.028904,            0.019339,           0.0015734,            0.004885,            0.004885,            0.004885
                 157,            0.034109,            0.034306,            0.011554,              0.9151,             0.91935,             0.96647,             0.73416,            0.028352,            0.019121,            0.001554,            0.004852,            0.004852,            0.004852
                 158,            0.034505,            0.036833,            0.012931,              0.9251,             0.91273,             0.96333,               0.731,            0.029813,             0.01947,           0.0015452,            0.004819,            0.004819,            0.004819
                 159,            0.031287,            0.034094,            0.010519,             0.93299,             0.90671,             0.96268,             0.74577,            0.028497,            0.019261,           0.0015401,            0.004786,            0.004786,            0.004786
