               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.079458,             0.17142,             0.51679,             0.38662,             0.28719,             0.29059,             0.14566,            0.083196,             0.21551,            0.036346,            0.001585,            0.001585,            0.001585
                  87,            0.079471,             0.17321,             0.51859,             0.39496,             0.28535,             0.28738,              0.1471,            0.083238,             0.21489,            0.036271,            0.001486,            0.001486,            0.001486
                  88,            0.079443,             0.17308,              0.5152,             0.36498,             0.29451,              0.2853,             0.14348,            0.083217,             0.21494,            0.036434,            0.001387,            0.001387,            0.001387
                  89,             0.07944,             0.17278,             0.52024,             0.40595,             0.28489,              0.2908,             0.14776,            0.083132,             0.21474,            0.036337,            0.001288,            0.001288,            0.001288
                  90,            0.079221,             0.17157,              0.5108,             0.36357,             0.28963,             0.28653,             0.14509,             0.08313,             0.21502,            0.036322,            0.001189,            0.001189,            0.001189
                  91,            0.079125,              0.1712,             0.50134,             0.37191,             0.28752,             0.28736,             0.14662,            0.083087,             0.21485,            0.036416,             0.00109,             0.00109,             0.00109
                  92,            0.079349,              0.1713,             0.50968,             0.35982,             0.28749,             0.28739,             0.14724,            0.083115,             0.21518,            0.036517,            0.000991,            0.000991,            0.000991
                  93,            0.079285,             0.17185,              0.5064,             0.36521,             0.28775,             0.28358,             0.14446,            0.083108,             0.21511,            0.036413,            0.000892,            0.000892,            0.000892
                  94,            0.079276,             0.17078,             0.50457,             0.35031,             0.29632,             0.28477,             0.14464,            0.083092,              0.2151,            0.036518,            0.000793,            0.000793,            0.000793
                  95,            0.079131,             0.17078,              0.5008,             0.34757,             0.29697,             0.28482,             0.14427,            0.083108,             0.21526,            0.036617,            0.000694,            0.000694,            0.000694
                  96,            0.079168,             0.17032,             0.50006,             0.35654,             0.29366,             0.28789,             0.14604,            0.083147,               0.215,            0.036662,            0.000595,            0.000595,            0.000595
                  97,            0.079026,             0.17132,             0.50096,             0.35249,             0.29602,             0.28529,              0.1457,              0.0831,              0.2152,            0.036756,            0.000496,            0.000496,            0.000496
                  98,            0.079073,             0.16996,             0.49685,             0.38767,             0.28793,             0.28919,             0.14725,            0.083083,             0.21553,            0.036898,            0.000397,            0.000397,            0.000397
                  99,            0.079214,             0.17199,             0.50655,             0.35925,             0.29167,             0.28569,             0.14598,            0.083083,             0.21533,            0.036777,            0.000298,            0.000298,            0.000298
