               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.033751,            0.030076,           0.0003356,             0.81934,              0.6501,             0.73973,             0.48973,            0.037731,            0.040924,           2.062e-05,            0.001486,            0.001486,            0.001486
                  88,            0.033614,            0.029932,          0.00031362,             0.85241,             0.63115,             0.73921,             0.49017,            0.037737,            0.040984,          1.9905e-05,            0.001387,            0.001387,            0.001387
                  89,            0.033411,            0.029682,          0.00028493,             0.82313,             0.64618,             0.73985,             0.49108,            0.037739,            0.041266,          1.9215e-05,            0.001288,            0.001288,            0.001288
                  90,            0.033582,            0.029756,          0.00026235,             0.83845,             0.63895,             0.74055,             0.48944,            0.037799,             0.04159,          1.8588e-05,            0.001189,            0.001189,            0.001189
                  91,            0.033198,            0.029446,          0.00024262,              0.8266,             0.64174,             0.73804,             0.48914,            0.037718,            0.041299,          1.4936e-05,             0.00109,             0.00109,             0.00109
                  92,            0.033071,            0.029946,          0.00023543,             0.82296,             0.65042,             0.74249,             0.49203,            0.037721,             0.04121,          1.4389e-05,            0.000991,            0.000991,            0.000991
                  93,            0.033035,             0.02953,          0.00021409,             0.83446,              0.6441,             0.74378,             0.49221,            0.037637,             0.04148,          1.5169e-05,            0.000892,            0.000892,            0.000892
                  94,            0.032964,            0.029524,          0.00019326,             0.81725,              0.6486,             0.73926,             0.49006,            0.037772,            0.041786,          1.3998e-05,            0.000793,            0.000793,            0.000793
                  95,            0.032863,             0.02956,          0.00017873,             0.83175,             0.64295,             0.74127,             0.49093,            0.037704,            0.041774,          1.4016e-05,            0.000694,            0.000694,            0.000694
                  96,            0.032608,            0.028912,          0.00016537,             0.82399,             0.64988,             0.74183,             0.49253,            0.037674,            0.041556,          1.3246e-05,            0.000595,            0.000595,            0.000595
                  97,            0.032787,            0.028908,          0.00015595,              0.8331,             0.64067,             0.74098,             0.49199,            0.037624,            0.041394,          1.1855e-05,            0.000496,            0.000496,            0.000496
                  98,            0.032621,             0.02947,          0.00014788,             0.82535,             0.65052,             0.74094,             0.49293,            0.037596,             0.04138,          1.2083e-05,            0.000397,            0.000397,            0.000397
                  99,             0.03242,              0.0292,          0.00014309,             0.81704,             0.65545,             0.74127,             0.49221,            0.037692,            0.041571,          1.2673e-05,            0.000298,            0.000298,            0.000298
